model,diff_AIC,AIC,site,taxon,n_level,df,min_AIC
ESGR.TYAN.LowN.lin.no.int,12.00970012653626,46.76141210682209,ESGR,TYAN,LowN,2,34.75171198028583
ESGR.TYAN.LowN.nls.int,8.051566606089523,42.803278586375356,ESGR,TYAN,LowN,3,34.75171198028583
ESGR.TYAN.LowN.nls.no.int,0,34.75171198028583,ESGR,TYAN,LowN,3,34.75171198028583
ESGR.TYAN.LowN.lin.int,14.00970012653626,48.76141210682209,ESGR,TYAN,LowN,3,34.75171198028583
ESGR.TYAN.MedN.lin.no.int,0,36.12809211559874,ESGR,TYAN,MedN,2,36.12809211559874
ESGR.TYAN.MedN.nls.no.int,0.88057127320188755,37.00866338880063,ESGR,TYAN,MedN,3,36.12809211559874
ESGR.TYAN.MedN.lin.int,2.000000000000007,38.12809211559875,ESGR,TYAN,MedN,3,36.12809211559874
ESGR.TYAN.MedN.nls.int,2.4980516512478843,38.626143766846624,ESGR,TYAN,MedN,4,36.12809211559874
ESGR.TYAN.HighN.lin.no.int,0,19.52144394256324,ESGR,TYAN,HighN,2,19.52144394256324
ESGR.TYAN.HighN.nls.no.int,1.3900336056537164,20.911477548216958,ESGR,TYAN,HighN,3,19.52144394256324
ESGR.TYAN.HighN.lin.int,1.0196170015922483,20.54106094415549,ESGR,TYAN,HighN,3,19.52144394256324
ESGR.TYAN.HighN.nls.int,1.4035610296039494,20.92500497216719,ESGR,TYAN,HighN,4,19.52144394256324
ESGR.TYGL.MedN.lin.no.int,0,93.83189147842357,ESGR,TYGL,MedN,2,93.83189147842357
ESGR.TYGL.MedN.nls.no.int,1.9930618799659783,95.82495335838955,ESGR,TYGL,MedN,3,93.83189147842357
ESGR.TYGL.MedN.lin.int,1.9930292022289393,95.82492068065251,ESGR,TYGL,MedN,3,93.83189147842357
ESGR.TYGL.MedN.nls.int,3.9929960451705284,97.8248875235941,ESGR,TYGL,MedN,4,93.83189147842357
ESGR.TYGL.HighN.lin.no.int,0.20065818317827677,44.64535045968692,ESGR,TYGL,HighN,2,44.44469227650864
ESGR.TYGL.HighN.nls.int,0.47310375036176566,44.917796026870406,ESGR,TYGL,HighN,3,44.44469227650864
ESGR.TYGL.HighN.nls.no.int,0,44.44469227650864,ESGR,TYGL,HighN,3,44.44469227650864
ESGR.TYGL.HighN.lin.int,2.2006581831782768,46.64535045968692,ESGR,TYGL,HighN,3,44.44469227650864
ESGR.TYLA.MedN.lin.no.int,0,100.14155479277017,ESGR,TYLA,MedN,2,100.14155479277017
ESGR.TYLA.MedN.nls.no.int,1.9893410418150381,102.1308958345852,ESGR,TYLA,MedN,3,100.14155479277017
ESGR.TYLA.MedN.lin.int,1.9999999999999716,102.14155479277014,ESGR,TYLA,MedN,3,100.14155479277017
ESGR.TYLA.MedN.nls.int,3.989341041808615,104.13089583457878,ESGR,TYLA,MedN,4,100.14155479277017
ESGR.TYLA.HighN.lin.no.int,4.390410088766469,36.138990557294534,ESGR,TYLA,HighN,2,31.748580468528065
ESGR.TYLA.HighN.nls.no.int,2.0021127257343103,33.750693194262375,ESGR,TYLA,HighN,3,31.748580468528065
ESGR.TYLA.HighN.lin.int,0,31.748580468528065,ESGR,TYLA,HighN,3,31.748580468528065
ESGR.TYLA.HighN.nls.int,1.6743482821807483,33.42292875070881,ESGR,TYLA,HighN,4,31.748580468528065
UMBS.TYAN.LowN.lin.no.int,0,54.313066723920684,UMBS,TYAN,LowN,2,54.313066723920684
UMBS.TYAN.LowN.nls.no.int,0.8447280083114208,55.157794732232105,UMBS,TYAN,LowN,3,54.313066723920684
UMBS.TYAN.LowN.lin.int,1.9999999999999858,56.31306672392067,UMBS,TYAN,LowN,3,54.313066723920684
UMBS.TYAN.LowN.nls.int,2.8447280083079463,57.15779473222863,UMBS,TYAN,LowN,4,54.313066723920684
UMBS.TYAN.MedN.lin.no.int,0.7957001377473105,17.878875287178865,UMBS,TYAN,MedN,2,17.083175149431554
UMBS.TYAN.MedN.nls.no.int,0,17.083175149431554,UMBS,TYAN,MedN,3,17.083175149431554
UMBS.TYAN.MedN.lin.int,1.7145876918143372,18.79776284124589,UMBS,TYAN,MedN,3,17.083175149431554
UMBS.TYAN.MedN.nls.int,2.000000000001073,19.083175149432627,UMBS,TYAN,MedN,4,17.083175149431554
UMBS.TYAN.HighN.lin.no.int,0,58.346219246527035,UMBS,TYAN,HighN,2,58.346219246527035
UMBS.TYAN.HighN.nls.no.int,1.398855896118988,59.74507514264602,UMBS,TYAN,HighN,3,58.346219246527035
UMBS.TYAN.HighN.lin.int,1.3883875846528468,59.73460683117988,UMBS,TYAN,HighN,3,58.346219246527035
UMBS.TYAN.HighN.nls.int,3.386733642191132,61.73295288871817,UMBS,TYAN,HighN,4,58.346219246527035
UMBS.TYGL.LowN.lin.no.int,0,60.84552256124995,UMBS,TYGL,LowN,2,60.84552256124995
UMBS.TYGL.LowN.nls.no.int,1.4824981546640714,62.32802071591402,UMBS,TYGL,LowN,3,60.84552256124995
UMBS.TYGL.LowN.lin.int,2,62.84552256124995,UMBS,TYGL,LowN,3,60.84552256124995
UMBS.TYGL.LowN.nls.int,3.4824981546608456,64.3280207159108,UMBS,TYGL,LowN,4,60.84552256124995
UMBS.TYGL.MedN.lin.no.int,0,110.27614155761574,UMBS,TYGL,MedN,2,110.27614155761574
UMBS.TYGL.MedN.nls.no.int,1.7213944097180303,111.99753596733377,UMBS,TYGL,MedN,3,110.27614155761574
UMBS.TYGL.MedN.lin.int,2,112.27614155761574,UMBS,TYGL,MedN,3,110.27614155761574
UMBS.TYGL.MedN.nls.int,3.7213944097015172,113.99753596731726,UMBS,TYGL,MedN,4,110.27614155761574
UMBS.TYGL.HighN.lin.no.int,5.464603736756118,64.31710262614783,UMBS,TYGL,HighN,2,58.85249888939171
UMBS.TYGL.HighN.nls.no.int,5.903768389298548,64.75626727869026,UMBS,TYGL,HighN,3,58.85249888939171
UMBS.TYGL.HighN.lin.int,7.464603736756118,66.31710262614783,UMBS,TYGL,HighN,3,58.85249888939171
UMBS.TYGL.HighN.nls.int,0,58.85249888939171,UMBS,TYGL,HighN,4,58.85249888939171
UMBS.TYLA.HighN.lin.no.int,0,42.76318355387508,UMBS,TYLA,HighN,2,42.76318355387508
UMBS.TYLA.HighN.nls.int,1.7628494153140082,44.52603296918909,UMBS,TYLA,HighN,3,42.76318355387508
UMBS.TYLA.HighN.nls.no.int,1.852591444733477,44.61577499860856,UMBS,TYLA,HighN,3,42.76318355387508
UMBS.TYLA.HighN.lin.int,2,44.76318355387508,UMBS,TYLA,HighN,3,42.76318355387508
